rebalance_date,fund_id,fund_name,asset_family,method,asset,asset_class,sector,pretrade_weight,target_weight,is_latest_rebalance
2021-03-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,SO,Equity,Utilities,0.0186035708473,0.02,False
2021-03-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,T,Equity,Comm,0.0186290618205,0.02,False
2021-03-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,TMUS,Equity,Comm,0.0181966023629,0.02,False
2021-03-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,TTWO,Equity,Comm,0.0175978696515,0.02,False
2021-03-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,UPS,Equity,Industrials,0.0195957864543,0.02,False
2021-03-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,USB,Equity,Financials,0.0223142942726,0.02,False
2021-03-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,V,Equity,Financials,0.0210500038828,0.02,False
2021-03-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,WFC,Equity,Financials,0.0232222301047,0.02,False
2021-03-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,WMT,Equity,Consumer,0.0176845689148,0.02,False
2021-03-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,XOM,Equity,Energy,0.0235814779938,0.02,False
2021-04-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,ABBV,Equity,Healthcare,0.0189871748385,0.02,False
2021-04-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,ABT,Equity,Healthcare,0.0189124278714,0.02,False
2021-04-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,ADBE,Equity,Tech,0.0195485876374,0.02,False
2021-04-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,AEP,Equity,Utilities,0.0213905247436,0.02,False
2021-04-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,AMD,Equity,Tech,0.0175586586953,0.02,False
2021-04-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,AMGN,Equity,Healthcare,0.0209107440998,0.02,False
2021-04-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,AMT,Equity,RealEstate,0.0209084391717,0.02,False
2021-04-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,BA,Equity,Industrials,0.0227110130274,0.02,False
2021-04-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,CAT,Equity,Industrials,0.020303081778,0.02,False
2021-04-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,CCI,Equity,RealEstate,0.0210709034063,0.02,False
2021-04-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,CMCSA,Equity,Comm,0.0194013429129,0.02,False
2021-04-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,COP,Equity,Energy,0.0192518723212,0.02,False
2021-04-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,CVX,Equity,Energy,0.0198084125477,0.02,False
2021-04-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,D,Equity,Utilities,0.0212088414311,0.02,False
2021-04-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,DD,Equity,Materials,0.0207738989164,0.02,False
2021-04-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,DIS,Equity,Consumer,0.0184509875465,0.02,False
2021-04-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,DOW,Equity,Materials,0.0203786036053,0.02,False
2021-04-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,DUK,Equity,Utilities,0.0213191045221,0.02,False
2021-04-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,EA,Equity,Comm,0.0191241870437,0.02,False
2021-04-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,GE,Equity,Industrials,0.0198069251973,0.02,False
2021-04-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,GILD,Equity,Healthcare,0.0201238357896,0.02,False
2021-04-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,GS,Equity,Financials,0.0194238950235,0.02,False
2021-04-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,INTC,Equity,Tech,0.0199043977838,0.02,False
2021-04-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,KO,Equity,Consumer,0.020507617279,0.02,False
2021-04-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,MMM,Equity,Industrials,0.0208055674632,0.02,False
2021-04-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,MRK,Equity,Healthcare,0.0202428061826,0.02,False
2021-04-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,MS,Equity,Financials,0.0190972286454,0.02,False
2021-04-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,NEE,Equity,Utilities,0.0194509047372,0.02,False
2021-04-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,NEM,Equity,Materials,0.0211552208877,0.02,False
2021-04-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,NKE,Equity,Consumer,0.0186378881882,0.02,False
2021-04-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,NUE,Equity,Materials,0.0254962255499,0.02,False
2021-04-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,NVDA,Equity,Tech,0.0184045023502,0.02,False
2021-04-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,O,Equity,RealEstate,0.019992590774,0.02,False
2021-04-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,OXY,Equity,Energy,0.0189164118392,0.02,False
2021-04-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,PLD,Equity,RealEstate,0.0203508036341,0.02,False
2021-04-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,PSA,Equity,RealEstate,0.0201042804641,0.02,False
2021-04-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,QCOM,Equity,Tech,0.0184909858137,0.02,False
2021-04-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,SBUX,Equity,Consumer,0.0191199316377,0.02,False
2021-04-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,SHW,Equity,Materials,0.0205052918786,0.02,False
2021-04-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,SLB,Equity,Energy,0.0184153223728,0.02,False
