month,sector,article_count,covered_tickers,hhi,breadth
2021-12,Utilities,55,5,0.264132231405,0.75719649562
2022-01,Comm,392,5,0.282616618076,0.707672469375
2022-01,Consumer,433,5,0.21705273376,0.921435065733
2022-01,Energy,412,5,0.279137996041,0.71649149466
2022-01,Financials,607,5,0.231942548358,0.86228249804
2022-01,Healthcare,320,5,0.21736328125,0.920118609039
2022-01,Industrials,363,5,0.271664807352,0.736201357656
2022-01,Materials,106,5,0.237629049484,0.841647940075
2022-01,RealEstate,112,5,0.215082908163,0.929873980726
2022-01,Tech,718,5,0.252135691064,0.793223677125
2022-01,Utilities,120,5,0.263194444444,0.759894459103
2022-02,Comm,242,5,0.243869954238,0.820109228399
2022-02,Consumer,521,5,0.218887345685,0.913712025583
2022-02,Energy,464,5,0.277868608799,0.719764642953
2022-02,Financials,350,5,0.245469387755,0.814765547057
2022-02,Healthcare,298,5,0.211747218594,0.944522442034
2022-02,Industrials,240,5,0.242326388889,0.825333142284
2022-02,Materials,93,5,0.229275060701,0.872314674735
2022-02,RealEstate,118,5,0.21114622235,0.947210884354
2022-02,Tech,712,5,0.269225003156,0.742873052857
2022-02,Utilities,166,5,0.215343300915,0.928749578699
2022-03,Comm,198,5,0.272880318335,0.732922041503
2022-03,Consumer,550,5,0.20933553719,0.955403954267
2022-03,Energy,719,5,0.248643514695,0.804364434141
2022-03,Financials,375,5,0.242481777778,0.824804246459
2022-03,Healthcare,251,5,0.247472262345,0.808171380925
2022-03,Industrials,363,5,0.356586146969,0.560874284377
2022-03,Materials,96,5,0.264973958333,0.754791154791
2022-03,RealEstate,138,5,0.215605965133,0.927618119825
2022-03,Tech,705,5,0.238416578643,0.838867838547
2022-03,Utilities,99,5,0.258238955209,0.774476491505
2022-04,Comm,265,5,0.342484870061,0.583967402603
2022-04,Consumer,503,5,0.217015995478,0.921591053964
2022-04,Energy,462,5,0.235274826184,0.850069696125
2022-04,Financials,523,5,0.23638078595,0.84609245712
2022-04,Healthcare,317,5,0.225149021286,0.888300552486
2022-04,Industrials,328,5,0.236726650803,0.844856290247
2022-04,Materials,180,5,0.262530864198,0.761815189278
2022-04,RealEstate,144,5,0.206983024691,0.966262814539
2022-04,Tech,600,5,0.252211111111,0.792986475175
2022-04,Utilities,124,5,0.255983350676,0.781300813008
2022-05,Comm,225,5,0.232987654321,0.85841458245
2022-05,Consumer,668,5,0.275951091828,0.724766112266
2022-05,Energy,576,5,0.23828125,0.839344262295
2022-05,Financials,300,5,0.224688888889,0.890119671645
2022-05,Healthcare,272,5,0.219615051903,0.910684391925
2022-05,Industrials,243,5,0.293502006808,0.681426345854
2022-05,Materials,95,5,0.231689750693,0.863223338116
2022-05,RealEstate,143,5,0.230378013595,0.868138399491
2022-05,Tech,589,5,0.295534141779,0.67674076097
2022-05,Utilities,146,5,0.249296303246,0.802258185924
2022-06,Comm,198,5,0.251096826854,0.796505485575
2022-06,Consumer,585,5,0.223458251151,0.89502177239
2022-06,Energy,500,5,0.25644,0.779909530494
2022-06,Financials,347,5,0.231020936973,0.865722399971
2022-06,Healthcare,255,5,0.223129565552,0.896340202633
2022-06,Industrials,289,5,0.26373007986,0.758351114541
2022-06,Materials,123,5,0.25692378875,0.778440957036
2022-06,RealEstate,147,5,0.241427183118,0.828407130535
2022-06,Tech,515,5,0.217064756339,0.921384030154
2022-06,Utilities,142,5,0.226740726046,0.882064741907
2022-07,Comm,248,5,0.279851716961,0.714664187776
2022-07,Consumer,550,5,0.248211570248,0.805764210751
2022-07,Energy,546,5,0.228307101933,0.876013046928
2022-07,Financials,429,5,0.228737074891,0.874366344395
2022-07,Healthcare,353,5,0.254596377469,0.7855571316
2022-07,Industrials,263,5,0.221500961413,0.902930618106
2022-07,Materials,134,5,0.227333481845,0.879764821166
2022-07,RealEstate,155,5,0.213319458897,0.93756097561
2022-07,Tech,504,5,0.22903281683,0.873237306198
2022-07,Utilities,154,5,0.237139483893,0.843385490754
2022-08,Comm,273,5,0.215312160367,0.928883903533
2022-08,Consumer,630,5,0.27378180902,0.73050872414
2022-08,Energy,544,5,0.25023653763,0.799243795068
2022-08,Financials,242,5,0.231814766751,0.862757807896
2022-08,Healthcare,262,5,0.232649612493,0.859661865999
2022-08,Industrials,175,4,0.251918367347,0.793907971484
2022-08,Materials,86,5,0.20903190914,0.956791720569
