date,sector,vader_compound_raw,vader_compound_lag1,vader_compound_21d_trailing,vader_compound_21d_trailing_lag1,positive_ticker_share,neutral_ticker_share,negative_ticker_share,article_count,covered_tickers,coverage_share,breadth,has_news,signal_source_date,signal_available
2023-08-07,Tech,0.0443216666667,0.0656071666667,0.125943988985,0.124334028668,0.6,0.2,0.2,52,5,1,0.574097664544,True,2023-08-04,True
2023-08-07,Utilities,0.091735,0.100984,0.145221067649,0.15241675548,0.4,0.6,0,8,5,1,0.64,True,2023-08-04,True
2023-08-08,Comm,0.195852777778,0.08163,0.0948417776129,0.0877731929569,0.666666666667,0.333333333333,0,11,3,0.6,0.456603773585,True,2023-08-07,True
2023-08-08,Consumer,0.113146190476,0.075559,0.102255377073,0.0986972478211,0.6,0.4,0,29,5,1,0.880628272251,True,2023-08-07,True
2023-08-08,Energy,0.274610416667,0.105470833333,0.100089188171,0.0907243111872,0.5,0.5,0,9,4,0.8,0.6,True,2023-08-07,True
2023-08-08,Financials,-0.0666393333333,-0.0390593333333,0.0692679507806,0.0729435698283,0.2,0.2,0.6,38,5,1,0.756020942408,True,2023-08-07,True
2023-08-08,Healthcare,0.19872,0.113333333333,0.0919309977711,0.0869484127371,0.75,0.25,0,13,4,0.8,0.71914893617,True,2023-08-07,True
2023-08-08,Industrials,0.07704375,0.0734125,0.0930908647797,0.0925164458455,0.5,0.5,0,17,2,0.4,0.224902723735,True,2023-08-07,True
2023-08-08,Materials,0.0258,0,0.0635289761335,0.0794395024493,0.5,0.5,0,3,2,0.4,0.36,True,2023-08-07,True
2023-08-08,RealEstate,0,0.0143333333333,0.109506069728,0.121602101474,0,1,0,3,1,0.2,0.2,True,2023-08-07,True
2023-08-08,Tech,0.122801428571,0.0443216666667,0.126061985926,0.125943988985,0.8,0.2,0,39,5,1,0.560220994475,True,2023-08-07,True
2023-08-08,Utilities,0.0517,0.091735,0.138502972411,0.145221067649,0.5,0.5,0,11,2,0.4,0.284705882353,True,2023-08-07,True
2023-08-09,Comm,-0.0366991666667,0.195852777778,0.0875858649145,0.0948417776129,0.25,0.25,0.5,16,4,0.8,0.691891891892,True,2023-08-08,True
2023-08-09,Consumer,0.0498366315789,0.113146190476,0.0975664309575,0.102255377073,0.4,0.6,0,54,5,1,0.383684210526,True,2023-08-08,True
2023-08-09,Energy,-0.0192933333333,0.274610416667,0.101237272072,0.100089188171,0.4,0.2,0.4,21,5,1,0.824299065421,True,2023-08-08,True
2023-08-09,Financials,0.0842855238095,-0.0666393333333,0.0683414677874,0.0692679507806,0.6,0.2,0.2,19,5,1,0.776344086022,True,2023-08-08,True
2023-08-09,Healthcare,0.242628666667,0.19872,0.104403791422,0.0919309977711,0.8,0.2,0,18,5,1,0.925714285714,True,2023-08-08,True
2023-08-09,Industrials,0.152845555556,0.07704375,0.0937198198062,0.0930908647797,1,0,0,15,3,0.6,0.398230088496,True,2023-08-08,True
2023-08-09,Materials,0.214766666667,0.0258,0.0718093270107,0.0635289761335,0.666666666667,0.333333333333,0,4,3,0.6,0.533333333333,True,2023-08-08,True
2023-08-09,RealEstate,-0.03062,0,0.0989574982993,0.109506069728,0,0.8,0.2,8,5,1,0.8,True,2023-08-08,True
2023-08-09,Tech,0.1329045,0.122801428571,0.125947836179,0.126061985926,0.4,0.6,0,39,5,1,0.477551020408,True,2023-08-08,True
2023-08-09,Utilities,0.23205,0.0517,0.139063845427,0.138502972411,1,0,0,3,2,0.4,0.36,True,2023-08-08,True
2023-08-10,Comm,-0.0229375,-0.0366991666667,0.0813876347558,0.0875858649145,0.25,0.5,0.25,9,4,0.8,0.648,True,2023-08-09,True
2023-08-10,Consumer,0.0671308333333,0.0498366315789,0.0922907022418,0.0975664309575,0.6,0.4,0,38,5,1,0.447058823529,True,2023-08-09,True
2023-08-10,Energy,0.2552375,-0.0192933333333,0.110205470484,0.101237272072,0.75,0.25,0,18,4,0.8,0.469565217391,True,2023-08-09,True
2023-08-10,Financials,0.130885,0.0842855238095,0.0719764360414,0.0683414677874,0.6,0,0.4,14,5,1,0.933333333333,True,2023-08-09,True
2023-08-10,Healthcare,0.229053333333,0.242628666667,0.101393553327,0.104403791422,1,0,0,10,4,0.8,0.555555555556,True,2023-08-09,True
2023-08-10,Industrials,-0.0401333333333,0.152845555556,0.0902190261554,0.0937198198062,0,0.666666666667,0.333333333333,7,3,0.6,0.515789473684,True,2023-08-09,True
2023-08-10,Materials,0.04404,0.214766666667,0.0684098533265,0.0718093270107,0.2,0.8,0,6,5,1,0.9,True,2023-08-09,True
